Ensembl_human_genes,Chromosome,Startsite,Strand,Band,Symbol,EntrezGene,Unigene,Tissue_number,Tissues,Max_tissue
ENSG00000100031,22,24583750,1,q11.23,GGT1,2678,Hs.645535,5,/duodenum/gallbladder/kidney/prostate/smallintestine,kidney
ENSG00000198814,X,30653359,1,p21.2,GK,2710,Hs.1466,5,/appendices/duodenum/kidney/liver/smallintestine,kidney
ENSG00000002746,7,43112599,1,p14.1,HECW1,23072,Hs.164453,5,/brain/gallbladder/kidney/prostate/testis,kidney
ENSG00000260027,17,48607227,-1,q21.32,HOXB7,3217,Hs.436181,5,/colon/colonrectum/fat/kidney/rectum,kidney
ENSG00000027644,1,156840063,-1,q23.1,INSRR,3645,Hs.248138,5,adrenal/kidney/prostate/stomach/testis,kidney
ENSG00000258292,12,95803097,1,q23.1,LINC02410,105369920,Hs.145556,5,adrenal/heart/kidney/stomach/testis,kidney
ENSG00000165973,11,20669551,1,p15.1,NELL1,4745,Hs.657172,5,/brain/esophagus/kidney/prostate/testis,kidney
ENSG00000113389,5,32689070,1,p13.3,NPR3,4883,Hs.619466,5,/fat/heart/kidney/lung/thyroid,kidney
ENSG00000165621,13,96985719,-1,q32.1,OXGR1,27199,Hs.352218,5,/colon/colonrectum/esophagus/fallopiantube/kidney,kidney
ENSG00000109819,4,23755041,-1,p15.2,PPARGC1A,10891,Hs.527078,5,/heart/kidney/liver/salivarygland/thyroid,kidney
ENSG00000100362,22,36800684,-1,q12.3,PVALB,5816,Hs.295449,5,/brain/kidney/liver/skeletalmuscle/tonsil,kidney
ENSG00000143839,1,204154819,-1,q32.1,REN,5972,Hs.3210,5,/endometrium/kidney/ovary/placenta/smoothmuscle,kidney
ENSG00000124568,6,25782897,-1,p22.2,SLC17A1,6568,Hs.205816,5,/colonrectum/kidney/liver/ovary/testis,kidney
ENSG00000124564,6,25833066,-1,p22.2,SLC17A3,10786,Hs.327179,5,adrenal/kidney/liver/ovary/testis,kidney
ENSG00000197658,11,63079940,-1,q12.3,SLC22A24,283238,Hs.375139,5,/colonrectum/fat/kidney/liver/pancreas,kidney
ENSG00000180638,17,19678288,-1,p11.2,SLC47A2,146802,Hs.126830,5,/duodenum/fallopiantube/kidney/skin/smallintestine,kidney
ENSG00000113073,5,140360202,1,q31.3,SLC4A9,83697,Hs.550313,5,/brain/colon/kidney/prostate/testis,kidney
ENSG00000173930,5,102233986,-1,q21.1,SLCO4C1,353189,Hs.127648,5,/bonemarrow/gallbladder/kidney/liver/lung,kidney
ENSG00000243627,21,34418715,-1,q22.12,SMIM34A,388820,Hs.567951,5,/fallopiantube/heart/kidney/lung/testis,kidney
ENSG00000167941,17,43753731,-1,q21.31,SOST,50964,Hs.349204,5,/brain/fat/kidney/lung/thyroid,kidney
ENSG00000198829,3,151873643,1,q25.1,SUCNR1,56670,Hs.279575,5,/bonemarrow/kidney/spleen/stomach/thyroid,kidney
ENSG00000181291,17,34579487,1,q12,TMEM132E,124842,Hs.310482,5,/brain/duodenum/kidney/smallintestine/testis,kidney
ENSG00000214128,7,138797952,1,q34,TMEM213,155006,Hs.567729,5,/duodenum/kidney/lung/prostate/salivarygland,kidney
ENSG00000181778,9,68536580,-1,q21.11,TMEM252,169693,Hs.663056,5,/endometrium/kidney/prostate/smallintestine/smoothmuscle,kidney
ENSG00000111199,12,109783085,-1,q24.11,TRPV4,59341,Hs.506713,5,/esophagus/fallopiantube/kidney/placenta/salivarygland,kidney
ENSG00000158955,17,46833201,1,q21.32,WNT9B,7484,Hs.326420,5,/duodenum/kidney/skin/smallintestine/spleen,kidney
ENSG00000268424,,,,,,,,5,/bonemarrow/gallbladder/kidney/liver/lung,kidney
ENSG00000181495,,,,,,,,5,/fat/heart/kidney/lung/prostate,kidney
ENSG00000121410,19,58345178,-1,q13.43,A1BG,1,Hs.709582,1,/liver,liver
ENSG00000060971,3,38103129,-1,p22.2,ACAA1,30,Hs.643487,1,/liver,liver
ENSG00000120437,6,159760328,1,q25.3,ACAT2,39,Hs.571037,1,/liver,liver
ENSG00000112304,6,24667035,1,p22.3,ACOT13,55856,Hs.731605,1,/liver,liver
ENSG00000161533,17,75941507,-1,q25.1,ACOX1,51,Hs.464137,1,/liver,liver
ENSG00000168306,3,58505136,-1,p14.3,ACOX2,8309,Hs.444959,1,/liver,liver
ENSG00000160323,9,133414358,1,q34.2,ADAMTS13,11093,Hs.131433,1,/liver,liver
ENSG00000182551,2,3497361,-1,p25.3,ADI1,55256,Hs.502773,1,/liver,liver
ENSG00000259371,14,24120956,1,q12,AL136295.3,,,1,/liver,liver
ENSG00000258465,1,160216800,-1,q23.2,AL139011.2,,,1,/liver,liver
ENSG00000259171,14,20684587,1,q11.2,AL163636.2,,,1,/liver,liver
ENSG00000111275,12,111766887,1,q24.12,ALDH2,217,Hs.604551,1,/liver,liver
ENSG00000112294,6,24494852,1,p22.3,ALDH5A1,7915,Hs.371723,1,/liver,liver
ENSG00000214274,14,20684177,1,q11.2,ANG,283,Hs.283749,1,/liver,liver
ENSG00000267467,19,44942238,1,q13.32,APOC4,346,Hs.731599,1,/liver,liver
ENSG00000126522,7,66075798,1,q11.21,ASL,435,Hs.632015,1,/liver,liver
ENSG00000161267,3,197509783,-1,q29,BDH1,622,Hs.274539,1,/liver,liver
ENSG00000159403,12,7080199,-1,p13.31,C1R,715,Hs.731679,1,/liver,liver
ENSG00000139178,12,7089587,-1,p13.31,C1RL,51279,Hs.631730,1,/liver,liver
ENSG00000182326,12,6988259,1,p13.31,C1S,716,Hs.458355,1,/liver,liver
ENSG00000106804,9,120952335,-1,q33.2,C5,727,Hs.494997,1,/liver,liver
ENSG00000121691,11,34438925,1,p13,CAT,847,Hs.502302,1,/liver,liver
ENSG00000241399,2,159768630,-1,q24.2,CD302,9936,Hs.153563,1,/liver,liver
ENSG00000000971,1,196651878,1,q31.3,CFH,3075,Hs.363396,1,/liver,liver
ENSG00000244414,1,196819757,1,q31.3,CFHR1,3078,Hs.575869,1,/liver,liver
ENSG00000120885,8,27596917,-1,p21.1,CLU,1191,Hs.436657,1,/liver,liver
ENSG00000198515,4,47935977,-1,p12,CNGA1,1259,Hs.1323,1,/liver,liver
ENSG00000081041,4,74097035,-1,q13.3,CXCL2,2920,Hs.75765,1,/liver,liver
ENSG00000135929,2,218781749,1,q35,CYP27A1,1593,Hs.516700,1,/liver,liver
ENSG00000145476,4,186191520,1,q35.1,CYP4V2,285440,Hs.587231,1,/liver,liver
ENSG00000001630,7,92112151,-1,q21.2,CYP51A1,1595,Hs.417077,1,/liver,liver
ENSG00000099977,22,23971365,-1,q11.23,DDT,1652,Hs.656723,1,/liver,liver
ENSG00000172893,11,71428193,-1,q13.4,DHCR7,1717,Hs.503134,1,/liver,liver
ENSG00000102967,16,72008588,1,q22.2,DHODH,1723,Hs.654427,1,/liver,liver
ENSG00000181192,10,12068972,1,p14,DHTKD1,55526,Hs.568075,1,/liver,liver
ENSG00000152620,5,36192592,-1,p13.2,DK2,133686,Hs.81907,1,/liver,liver
ENSG00000143507,1,221701424,-1,q41,DUSP10,11221,Hs.732301,1,/liver,liver
ENSG00000147155,X,48521158,1,p11.23,EBP,10682,Hs.30619,1,/liver,liver
ENSG00000127884,10,133362480,-1,q26.3,ECHS1,1892,Hs.76394,1,/liver,liver
ENSG00000171503,4,158672125,1,q32.1,ETFDH,2110,Hs.155729,1,/liver,liver
ENSG00000126218,13,113122814,1,q34,F10,2159,Hs.361463,1,/liver,liver
ENSG00000156869,1,99708632,-1,p21.2,FRRS1,391059,Hs.454779,1,/liver,liver
ENSG00000116717,1,67685061,1,p31.3,GADD45A,1647,Hs.80409,1,/liver,liver
ENSG00000148935,11,22625509,1,p14.3,GAS2,2620,Hs.711297,1,/liver,liver
ENSG00000131979,14,54842008,-1,q22.2,GCH1,2643,Hs.86724,1,/liver,liver
ENSG00000137880,15,40764020,1,q15.1,GCHFR,2644,Hs.631717,1,/liver,liver
ENSG00000023909,1,93885205,-1,p22.1,GCLM,2730,Hs.596052,1,/liver,liver
ENSG00000148672,10,87050486,-1,q23.2,GLUD1,2746,Hs.731740,1,/liver,liver
ENSG00000182890,X,121047588,1,q24,GLUD2,2747,Hs.368538,1,/liver,liver
ENSG00000137106,9,37422666,1,p13.2,GRHPR,9380,Hs.155742,1,/liver,liver
ENSG00000134184,1,109687814,1,p13.3,GSTM1,2944,Hs.301961,1,/liver,liver
ENSG00000100577,14,77320884,1,q24.3,GSTZ1,2954,Hs.655292,1,/liver,liver
ENSG00000108924,17,55265012,1,q22,HLF,3131,Hs.196952,1,/liver,liver
ENSG00000125430,17,14301083,1,p12,HS3ST3B1,9953,Hs.48384,1,/liver,liver
ENSG00000186480,7,155297776,1,q36.3,INSIG1,3638,Hs.520819,1,/liver,liver
ENSG00000123104,12,26336515,-1,p11.23,ITPR2,3709,Hs.512235,1,/liver,liver
ENSG00000164344,4,186208979,1,q35.2,KLKB1,3818,Hs.237642,1,/liver,liver
ENSG00000213398,16,67939750,-1,q22.1,LCAT,3931,Hs.387239,1,/liver,liver
ENSG00000116678,1,65420652,1,p31.3,LEPR,3953,Hs.723178,1,/liver,liver
ENSG00000266258,18,70335439,1,q22.2,LINC01909,101927481,Hs.633706,1,/liver,liver
ENSG00000101577,18,2916994,-1,p11.31,LPIN2,9663,Hs.132342,1,/liver,liver
ENSG00000009724,1,11026523,-1,p36.22,MASP2,10747,Hs.655645,1,/liver,liver
ENSG00000185432,12,50923472,1,q13.12,METTL7A,25840,Hs.744021,1,/liver,liver
ENSG00000132763,1,45500053,1,p34.1,MMACHC,25974,Hs.13024,1,/liver,liver
ENSG00000052802,4,165327623,1,q32.3,MSMO1,6307,Hs.105269,1,/liver,liver
ENSG00000169715,16,56625475,1,q13,MT1E,4493,Hs.744893,1,/liver,liver
ENSG00000100714,14,64388031,1,q23.3,MTHFD1,4522,Hs.652308,1,/liver,liver
ENSG00000136371,15,79833585,-1,q25.1,MTHFS,10588,Hs.459049,1,/liver,liver
ENSG00000146085,6,49430360,-1,p12.3,MUT,4594,Hs.485527,1,/liver,liver
ENSG00000128641,2,191245185,1,q32.3,MYO1B,4430,Hs.439620,1,/liver,liver
ENSG00000184117,22,29554808,-1,q12.2,NIPSP1,8508,Hs.173878,1,/liver,liver
ENSG00000184155,1,159535078,-1,q23.2,OR10J5,127385,Hs.553587,1,/liver,liver
ENSG00000162881,2,42762481,-1,p21,OXER1,165140,Hs.168439,1,/liver,liver
ENSG00000133027,17,17505563,-1,p11.2,PEMT,10400,Hs.714193,1,/liver,liver
ENSG00000183281,2,87002559,-1,p11.2,PLGLB1,5343,Hs.652169,1,/liver,liver
ENSG00000125551,2,87748087,1,p11.2,PLGLB2,5342,Hs.652169,1,/liver,liver
ENSG00000127948,7,75899200,1,q11.23,POR,5447,Hs.354056,1,/liver,liver
ENSG00000173281,8,9136255,-1,p23.1,PPP1R3B,79660,Hs.458513,1,/liver,liver
ENSG00000184500,3,93873033,-1,q11.1,PROS1,5627,Hs.64016,1,/liver,liver
ENSG00000117707,1,213983181,1,q32.3,PROX1,5629,Hs.744931,1,/liver,liver
ENSG00000112245,6,63521746,1,q12,PTP4A1,7803,Hs.706850,1,/liver,liver
ENSG00000168994,6,3722614,-1,p25.2,PXDC1,221749,Hs.484500,1,/liver,liver
ENSG00000176894,12,132687606,1,q24.33,PXMP2,5827,Hs.430299,1,/liver,liver
ENSG00000126838,12,9148840,-1,p13.31,PZP,5858,Hs.707491,1,/liver,liver
ENSG00000159200,21,34513142,-1,q22.12,RCAN1,1827,Hs.282326,1,/liver,liver
ENSG00000120158,9,4792869,1,p24.1,RCL1,10171,Hs.194121,1,/liver,liver
ENSG00000258818,14,20684100,1,q11.2,RSE4,6038,Hs.283749,1,/liver,liver
ENSG00000109929,11,121292453,1,q23.3,SC5D,6309,Hs.287749,1,/liver,liver
ENSG00000124145,20,45325288,-1,q13.12,SDC4,6385,Hs.632267,1,/liver,liver
ENSG00000135094,12,113392445,-1,q24.13,SDS,10993,Hs.439023,1,/liver,liver
ENSG00000149131,11,57597387,1,q12.1,SERPING1,710,Hs.384598,1,/liver,liver
ENSG00000174327,17,7036075,1,p13.1,SLC16A13,201232,Hs.448010,1,/liver,liver
ENSG00000147100,X,74421461,1,q13.2,SLC16A2,6567,Hs.75317,1,/liver,liver
ENSG00000004864,7,96120220,-1,q21.3,SLC25A13,10165,Hs.489190,1,/liver,liver
ENSG00000178537,3,48856931,-1,p21.31,SLC25A20,788,Hs.13845,1,/liver,liver
ENSG00000083807,19,58479512,-1,q13.43,SLC27A5,10998,Hs.292177,1,/liver,liver
ENSG00000116704,1,66999332,-1,p31.3,SLC35D1,23169,Hs.213642,1,/liver,liver
ENSG00000104635,8,22367249,1,p21.3,SLC39A14,23516,Hs.491232,1,/liver,liver
ENSG00000136052,12,104802553,-1,q23.3,SLC41A2,84102,Hs.577463,1,/liver,liver
ENSG00000176422,12,56468567,1,q13.3,SPRYD4,283377,Hs.128676,1,/liver,liver
ENSG00000214530,11,72754729,-1,q13.4,STARD10,10809,Hs.188606,1,/liver,liver
ENSG00000115107,2,119223831,1,q14.2,STEAP3,55240,Hs.647822,1,/liver,liver
ENSG00000106565,7,150791285,-1,q36.1,TMEM176B,28959,Hs.709505,1,/liver,liver
ENSG00000187824,17,10699015,-1,p13.1,TMEM220,388335,Hs.462230,1,/liver,liver
ENSG00000152078,1,95117338,1,p21.3,TMEM56,148534,Hs.483512,1,/liver,liver
ENSG00000182704,11,76782251,1,q13.5,TSKU,25987,Hs.8361,1,/liver,liver
ENSG00000109576,4,170060222,-1,q33,AADAT,51166,Hs.529735,2,/liver/prostate,liver
ENSG00000167315,18,49782167,-1,q21.1,ACAA2,10449,Hs.200136,2,/kidney/liver,liver
ENSG00000196177,10,123008979,1,q26.13,ACADSB,36,Hs.81934,2,/kidney/liver,liver
ENSG00000075239,11,108121516,1,q22.3,ACAT1,38,Hs.232375,2,/kidney/liver,liver
ENSG00000184227,14,73537114,1,q24.3,ACOT1,641371,Hs.568046,2,/kidney/liver,liver
ENSG00000119673,14,73567620,1,q24.3,ACOT2,10965,Hs.446685,2,/fat/liver,liver
ENSG00000196616,4,99304964,-1,q23,ADH1B,125,Hs.4,2,/fat/liver,liver
ENSG00000165092,9,72900662,-1,q21.13,ALDH1A1,216,Hs.76392,2,/duodenum/liver,liver
ENSG00000118514,6,134917390,-1,q23.3,ALDH8A1,64577,Hs.486520,2,/kidney/liver,liver
ENSG00000204444,6,31652416,1,p21.33,APOM,55937,Hs.534468,2,/kidney/liver,liver
ENSG00000169136,19,49928702,1,q13.33,ATF5,22809,Hs.9754,2,/liver/thyroid,liver
ENSG00000114200,3,165772904,-1,q26.1,BCHE,590,Hs.420483,2,/endometrium/liver,liver
ENSG00000259040,6,7881522,-1,p24.3,BLOC1S5-TXNDC5,100526836,Hs.150837,2,/liver/stomach,liver
ENSG00000166278,6,31897785,1,p21.33,C2,717,Hs.408903,2,/liver/lung,liver
ENSG00000170458,5,140631728,-1,q31.3,CD14,929,Hs.163867,2,/liver/placenta,liver
ENSG00000243649,6,31945650,1,p21.33,CFB,629,Hs.69771,2,/gallbladder/liver,liver
ENSG00000205403,4,109740694,-1,q25,CFI,3426,Hs.312485,2,/kidney/liver,liver
ENSG00000116761,1,70411218,1,p31.1,CTH,1491,Hs.19904,2,adrenal/liver,liver
ENSG00000166347,18,74250847,-1,q22.3,CYB5A,1528,Hs.465413,2,/kidney/liver,liver
ENSG00000146233,6,46549580,-1,p12.3,CYP39A1,51302,Hs.387367,2,/liver/salivarygland,liver
ENSG00000169738,17,82035136,-1,q25.3,DCXR,51181,Hs.9857,2,/kidney/liver,liver
ENSG00000113790,3,185190624,-1,q27.2,EHHADH,1962,Hs.429879,2,/kidney/liver,liver
ENSG00000143819,1,225810092,1,q42.12,EPHX1,2052,Hs.89649,2,adrenal/liver,liver
ENSG00000116285,1,8004404,-1,p36.23,ERRFI1,54206,Hs.605445,2,/liver/pancreas,liver
ENSG00000103876,15,80152490,1,q25.1,FAH,2184,Hs.73875,2,/fat/liver,liver
ENSG00000134363,5,53480409,1,q11.2,FST,10468,Hs.9914,2,/liver/placenta,liver
ENSG00000099860,19,2476122,1,p13.3,GADD45B,4616,Hs.110571,2,/bonemarrow/liver,liver
ENSG00000112964,5,42423777,1,p13.1,GHR,2690,Hs.684632,2,/fat/liver,liver
ENSG00000135423,12,56470944,-1,q13.3,GLS2,27165,Hs.212606,2,/liver/pancreas,liver
ENSG00000112293,6,24424565,-1,p22.3,GPLD1,2822,Hs.533291,2,/liver/skin,liver
ENSG00000162882,2,42767089,-1,p21,HAAO,23498,Hs.368805,2,/kidney/liver,liver
ENSG00000213931,11,5268345,-1,p15.4,HBE1,3046,Hs.655195,2,/liver/testis,liver
ENSG00000110169,11,6431049,-1,p15.4,HPX,3263,Hs.426485,2,/liver/smoothmuscle,liver
ENSG00000117594,1,209686178,1,q32.2,HSD11B1,3290,Hs.195040,2,/liver/placenta,liver
ENSG00000196083,3,190514051,1,q28,IL1RAP,3556,Hs.478673,2,/liver/placenta,liver
ENSG00000162267,3,52794768,1,p21.1,ITIH3,3699,Hs.76716,2,/liver/spleen,liver
ENSG00000055955,3,52812975,-1,p21.1,ITIH4,3700,Hs.709406,2,/liver/skeletalmuscle,liver
ENSG00000146521,6,167784537,-1,q27,LINC01558,26238,Hs.520583,2,/liver/smallintestine,liver
ENSG00000171236,19,4536409,-1,p13.3,LRG1,116844,Hs.655559,2,/esophagus/liver,liver
ENSG00000075643,18,36187519,1,q12.2,MOCOS,55034,Hs.405028,2,adrenal/liver,liver
ENSG00000173531,3,49683947,-1,p21.31,MST1,4485,Hs.512587,2,/duodenum/liver,liver
ENSG00000140961,16,83948282,1,q23.3,OSGIN1,29948,Hs.128055,2,/duodenum/liver,liver
ENSG00000115425,2,215996329,-1,q35,PECR,55825,Hs.281680,2,/kidney/liver,liver
ENSG00000144837,3,119597842,1,q13.33,PLA1A,51365,Hs.437451,2,/liver/lymphnode,liver
ENSG00000240891,3,111674676,1,q13.2,PLCXD2,257068,Hs.603252,2,/kidney/liver,liver
ENSG00000147872,9,19108375,-1,p22.1,PLIN2,123,Hs.3416,2,/liver/placenta,liver
ENSG00000189056,7,103471784,-1,q22.1,RELN,5649,Hs.655654,2,adrenal/liver,liver
ENSG00000132541,8,98102344,-1,q22.2,RIDA,10247,Hs.18426,2,/kidney/liver,liver
ENSG00000179918,16,30443631,-1,p11.2,SEPHS2,22928,Hs.118725,2,/kidney/liver,liver
ENSG00000117601,1,173903804,-1,q25.1,SERPINC1,462,Hs.75599,2,/kidney/liver,liver
ENSG00000132386,17,1761959,1,p13.3,SERPINF1,5176,Hs.532768,2,/gallbladder/liver,liver
ENSG00000175003,6,160121789,1,q25.3,SLC22A1,6580,Hs.117367,2,/kidney/liver,liver
ENSG00000073849,3,186930485,1,q27.3,ST6GAL1,6480,Hs.207459,2,/liver/tonsil,liver
ENSG00000002933,7,150800403,1,q36.1,TMEM176A,55365,Hs.647116,2,/kidney/liver,liver
ENSG00000271092,1,95117923,1,p21.3,TMEM56-RWDD3,100527978,Hs.483512,2,/heart/liver,liver
ENSG00000125735,19,6661253,-1,p13.3,TNFSF14,8740,Hs.129708,2,/fat/liver,liver
ENSG00000093217,3,38346760,1,p22.2,XYLB,9942,Hs.659985,2,/kidney/liver,liver
ENSG00000161573,,,,,,,,2,/liver/spleen,liver
ENSG00000005471,7,87401697,-1,q21.12,ABCB4,5244,Hs.654403,3,adrenal/liver/lymphnode,liver
ENSG00000269095,19,17235940,-1,p13.11,AC010646.1,,,3,/liver/pancreas/smallintestine,liver
ENSG00000262003,17,909632,1,p13.3,AC087392.1,101927727,Hs.666198,3,/endometrium/liver/smoothmuscle,liver
ENSG00000112414,6,142301854,1,q24.2,ADGRG6,57211,Hs.743302,3,/liver/placenta/urirybladder,liver
ENSG00000187134,10,4963253,1,p15.1,AKR1C1,1645,Hs.460260,3,/fat/liver/stomach,liver
ENSG00000273259,14,94592058,1,q32.13,AL049839.2,,,3,/liver/pancreas/testis,liver
ENSG00000139344,12,95943293,1,q23.1,AMDHD1,144193,Hs.424907,3,adrenal/kidney/liver,liver
ENSG00000132855,1,62597487,1,p31.3,ANGPTL3,27329,Hs.209153,3,/kidney/liver/stomach,liver
ENSG00000130812,19,10092338,-1,p13.2,ANGPTL6,83854,Hs.712850,3,/liver/lymphnode/tonsil,liver
ENSG00000255482,11,102467255,1,q22.2,AP001830.2,102723838,Hs.738066,3,/liver/lung/testis,liver
ENSG00000125730,19,6677704,-1,p13.3,C3,718,Hs.529053,3,/fat/gallbladder/liver,liver
ENSG00000244731,6,31982024,1,p21.33,C4A,720,Hs.720022,3,adrenal/kidney/liver,liver
ENSG00000224389,6,32014795,1,p21.33,C4B,721,Hs.720022,3,adrenal/kidney/liver,liver
ENSG00000204682,10,21492658,-1,p12.31,CASC10,399726,Hs.315568,3,/kidney/liver/placenta,liver
ENSG00000129596,5,115804733,-1,q22.3,CDO1,1036,Hs.442378,3,/fat/liver/placenta,liver
ENSG00000136305,14,24305096,-1,q12,CIDEB,27141,Hs.708040,3,/duodenum/liver/smallintestine,liver
ENSG00000159261,21,36460621,-1,q22.13,CLDN14,23562,Hs.741857,3,/appendices/kidney/liver,liver
ENSG00000047457,3,149162410,-1,q25.1,CP,1356,Hs.558314,3,/liver/spleen/urirybladder,liver
ENSG00000080618,13,46053195,-1,q14.13,CPB2,1361,Hs.512937,3,/gallbladder/liver/lung,liver
ENSG00000021826,2,210477682,1,q34,CPS1,1373,Hs.149252,3,/duodenum/liver/smallintestine,liver
ENSG00000100197,22,42126499,-1,q13.2,CYP2D6,1565,Hs.648256,3,/duodenum/liver/smallintestine,liver
ENSG00000171903,19,15912367,-1,p13.12,CYP4F11,57834,Hs.187393,3,/gallbladder/liver/smallintestine,liver
ENSG00000167910,8,58490178,-1,q12.1,CYP7A1,1581,Hs.1644,3,/duodenum/liver/testis,liver
ENSG00000176399,9,22446841,1,p21.3,DMRTA1,63951,Hs.371976,3,/kidney/liver/salivarygland,liver
ENSG00000225968,7,1688119,1,p22.3,ELFN1,392617,Hs.42896,3,/brain/kidney/liver,liver
ENSG00000057593,13,113105788,1,q34,F7,2155,Hs.36989,3,/liver/smallintestine/testis,liver
ENSG00000111713,12,21536189,-1,p12.1,GYS2,2998,Hs.82614,3,/esophagus/fat/liver,liver
ENSG00000109758,4,3441887,1,p16.3,HGFAC,3083,Hs.104,3,/brain/liver/testis,liver
ENSG00000139269,12,57452323,1,q13.3,INHBE,83729,Hs.632713,3,/liver/skeletalmuscle/thyroid,liver
ENSG00000155666,16,27203495,1,p12.1,KDM8,79831,Hs.145717,3,/duodenum/liver/smallintestine,liver
ENSG00000166035,15,58410569,1,q21.3,LIPC,3990,Hs.654472,3,/kidney/liver/urirybladder,liver
ENSG00000008394,12,16347142,1,p12.3,MGST1,4257,Hs.389700,3,adrenal/fat/liver,liver
ENSG00000187193,16,56682424,1,q13,MT1X,4501,Hs.374950,3,/esophagus/liver/thyroid,liver
ENSG00000152782,10,89579497,-1,q23.31,PANK1,53354,Hs.163555,3,/duodenum/kidney/liver,liver
ENSG00000173599,11,66848233,-1,q13.2,PC,5091,Hs.89890,3,/fat/kidney/liver,liver
ENSG00000140479,15,101297142,-1,q26.3,PCSK6,5046,Hs.665989,3,/liver/placenta/spleen,liver
ENSG00000107537,10,13277796,-1,p13,PHYH,5264,Hs.498732,3,/kidney/liver/skeletalmuscle,liver
ENSG00000122194,6,160702238,1,q26,PLG,5340,Hs.143436,3,/fallopiantube/kidney/liver,liver
ENSG00000100344,22,43923739,1,q13.31,PNPLA3,80339,Hs.654800,3,/kidney/liver/skin,liver
ENSG00000005421,7,95297676,-1,q21.3,PON1,5444,Hs.370995,3,adrenal/gallbladder/liver,liver
ENSG00000105852,7,95359944,-1,q21.3,PON3,5446,Hs.440967,3,/liver/ovary/salivarygland,liver
ENSG00000187545,1,12892896,-1,p36.21,PRAMEF10,343071,Hs.684629,3,/brain/liver/testis,liver
ENSG00000115718,2,127418427,1,q14.3,PROC,5624,Hs.224698,3,/kidney/liver/stomach,liver
ENSG00000126231,13,113158654,1,q34,PROZ,8858,Hs.1011,3,/kidney/liver/testis,liver
ENSG00000130988,X,47078355,1,p11.3,RGN,9104,Hs.77854,3,adrenal/kidney/liver,liver
ENSG00000172602,12,48857145,-1,q13.12,RND1,27289,Hs.124940,3,/brain/gallbladder/liver,liver
ENSG00000123453,9,133663560,-1,q34.2,SARDH,1757,Hs.198003,3,/kidney/liver/pancreas,liver
ENSG00000167711,17,1742836,1,p13.3,SERPINF2,5345,Hs.159509,3,/kidney/liver/testis,liver
ENSG00000141293,17,48133440,-1,q21.32,SKAP1,8631,Hs.316931,3,/liver/lymphnode/tonsil,liver
ENSG00000100652,14,69775417,-1,q24.1,SLC10A1,6554,Hs.952,3,/colonrectum/gallbladder/liver,liver
ENSG00000146477,6,160348268,1,q25.3,SLC22A3,6581,Hs.567337,3,/liver/prostate/salivarygland,liver
ENSG00000111181,12,190077,-1,p13.33,SLC6A12,6539,Hs.737267,3,/brain/kidney/liver,liver
ENSG00000186212,4,76894928,-1,q21.1,SOWAHB,345079,Hs.257292,3,/colonrectum/kidney/liver,liver
ENSG00000196502,16,28605196,-1,p11.2,SULT1A1,6817,Hs.736805,3,/duodenum/liver/smallintestine,liver
ENSG00000151790,4,155854738,1,q32.1,TDO2,6999,Hs.593955,3,/appendices/liver/urirybladder,liver
ENSG00000128311,22,37010859,-1,q12.3,TST,7263,Hs.474783,3,/colonrectum/duodenum/liver,liver
ENSG00000227164,,,,,,,,3,adrenal/liver/ovary,liver
ENSG00000269624,,,,,,,,3,/kidney/liver/stomach,liver
ENSG00000269120,,,,,,,,3,/liver/spleen/stomach,liver
ENSG00000154262,17,69078702,-1,q24.3,ABCA6,23460,Hs.709514,4,/fat/liver/ovary/urirybladder,liver
ENSG00000268790,19,16577642,-1,p13.11,AC008764.4,,,4,/colonrectum/kidney/liver/stomach,liver
ENSG00000257062,12,21047179,1,p12.2,AC022335.1,,,4,/colonrectum/esophagus/gallbladder/liver,liver
ENSG00000183549,16,20409534,1,p12.3,ACSM5,54988,Hs.659606,4,/fat/kidney/liver/skeletalmuscle,liver
ENSG00000198099,4,99123657,-1,q23,ADH4,127,Hs.1219,4,/duodenum/liver/smallintestine/urirybladder,liver
ENSG00000120907,8,26748150,-1,p21.2,ADRA1A,148,Hs.709175,4,/fat/liver/prostate/spleen,liver
ENSG00000244255,6,31927698,1,p21.33,AL645922.1,,,4,/duodenum/liver/lung/placenta,liver
ENSG00000167772,19,8363289,1,p13.2,ANGPTL4,51129,Hs.9613,4,/fat/liver/pancreas/smallintestine,liver
ENSG00000205143,9,34621379,-1,p13.3,ARID3C,138715,Hs.534549,4,/fallopiantube/liver/skin/testis,liver
ENSG00000111339,12,14825569,-1,p12.3,ART4,420,Hs.618457,4,/gallbladder/liver/lymphnode/spleen,liver
ENSG00000141505,17,7173431,-1,p13.1,ASGR1,432,Hs.731669,4,/gallbladder/liver/testis/thyroid,liver
ENSG00000176919,9,136945185,1,q34.3,C8G,733,Hs.1285,4,/duodenum/gallbladder/liver/smallintestine,liver
ENSG00000113600,5,39284262,-1,p13.1,C9,735,Hs.654443,4,/fat/kidney/liver/testis,liver
ENSG00000198848,16,55802851,-1,q12.2,CES1,1066,Hs.558865,4,/fat/gallbladder/liver/lung,liver
ENSG00000116785,1,196774795,1,q31.3,CFHR3,10878,Hs.709217,4,/fat/gallbladder/liver/urirybladder,liver
ENSG00000136457,17,50464496,-1,q21.33,CHAD,1101,Hs.97220,4,adrenal/liver/pancreas/smallintestine,liver
